"PROCESSING_SCRIPT","PROCESS_UNIT_NAME","PROCESS_UNIT_LABEL","M_PROCESSS_UNIT_DESC","PROCESSING_SCRIPTDESC","PERIOD","SIDE","DAY","SHIFTER"
"COLLAT_INT_REMUN    ","                    ","COLLAT_INT_GEN      ","","Collateral Interest Remenuration Calculation",1,0,7,"               "
"COLLAT_INT_REMUN    ","                    ","INV_GEN_SNAPSHOT    ","","Collateral Interest Remenuration Calculation",1,0,7,"               "
"COLLAT_INT_REMUN_DM1","                    ","COLLAT_INT_GEN      ","","Collateral Interest Remuneration Calculation at Day - 1",1,0,7,"               "
"COLLAT_INT_REMUN_DM1","                    ","INV_GEN_SNAPSHOT    ","","Collateral Interest Remuneration Calculation at Day - 1",1,0,7,"               "
"COLLAT_INV_SNAPSHOT ","                    ","INV_GEN_SNAPSHOT    ","","Collateral Inventory Snapshot",1,0,7,"               "
"COLLAT_INV_SNAP_DM1 ","                    ","INV_GEN_SNAPSHOT    ","","Collateral Inventory Snapshot at Day - 1",1,0,7,"               "
"COLLAT_RUN          ","                    ","COLLATERAL_RUN      ","","Collateral Run",1,0,7,"               "
"COLLAT_WHATIF       ","                    ","COLLAT.WHAT_IF_RUN  ","","COllateral what if scenarios",1,0,7,"               "
"COLLAT_WHATIF       ","                    ","INV_GEN_SNAPSHOT    ","","COllateral what if scenarios",1,0,7,"               "
"COMPUTE_GEN_FVV     ","                    ","HDG-CALC-FV         ","","Compute & Generate Fair Value Valuations",1,0,7,"               "
"COMPUTE_GEN_FVV     ","                    ","HDG-GEN-FV-BE       ","","Compute & Generate Fair Value Valuations",1,0,7,"               "
"CP Limits by Product","BAB_CPTYTYPO_BE     ","REP_BATCHES_EXT     ","","Counterparty notional by typology limit configured details along with exposure & available details",1,0,7,"               "
"CP Limits by Product","BAB_CPTYTYPO_BF     ","REP_BATCHES_FEED    ","","Counterparty notional by typology limit configured details along with exposure & available details",1,0,7,"               "
"CRD_CURVES_ROLL_FO  ","                    ","MARKETDATA.MARKETQUO","","Market data roll from T-1 to T on Front office market data set",1,0,7,"               "
"CRD_CURVES_ROLL_PC  ","                    ","MARKETDATA.MARKETQUO","","Market data roll from T-1 to T on Product control market data set",1,0,7,"               "
"CR_706595_PS        ","MX_ALL_ST_BF        ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"CR_706595_PS        ","MX_CS_E1_BF         ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"CR_706595_PS        ","MX_MD_MDS_Y_BF      ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"CR_706595_PS        ","MX_TRDUDF_BF        ","REP_BATCHES_FEED    ","","",1,0,7,"               "
"CTA List            ","BE_SALES_CTACUS     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"Clients Dashboard   ","BE_LIQ_CUST_SUM     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"DEPO_FUND_SWEEP     ","                    ","CASH ROLL OVER      ","","O/N Roll of NonFX Trading positions",1,0,7,"               "
"DEPO_FUND_SWEEP_FC  ","                    ","CASH ROLL OVER      ","","O/N Roll of NonFX Trading positions in Fund Ccy",1,0,7,"               "
"DI OS Remaining Days","BE_LIQ_MAT_OSDI     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"DI by Segment       ","BE_LIQ_FI_NONFI     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"DLV_REFRESH         ","                    ","EOD.PCENTER.EVENT.BU","","Refresh trades to impact deliverable",1,0,7,"               "
"DPM Performance     ","BE_DPM_PERF         ","REP_BATCHES_EXT     ","","PS_RK_DPM_PERF - Renamed",1,0,7,"               "
"Daily Blotter Report","                    ","REP_BATCHES_EXT     ","","Script defnition for Daily Blotter Reports",1,0,7,"               "
"Daily Blotter Report","                    ","REP_BATCHES_EXT     ","","Script defnition for Daily Blotter Reports",1,0,7,"               "
"Daily Blotter Report","                    ","REP_BATCHES_EXT     ","","Script defnition for Daily Blotter Reports",1,0,7,"               "
"Daily Blotter Report","                    ","REP_BATCHES_EXT     ","","Script defnition for Daily Blotter Reports",1,0,7,"               "
"Daily Blotter Report","                    ","REP_BATCHES_EXT     ","","Script defnition for Daily Blotter Reports",1,0,7,"               "
"Daily Blotter Report","                    ","REP_BATCHES_EXT     ","","Script defnition for Daily Blotter Reports",1,0,7,"               "
"Daily Blotter Report","                    ","REP_BATCHES_EXT     ","","Script defnition for Daily Blotter Reports",1,0,7,"               "
"Daily Blotter Report","                    ","REP_BATCHES_EXT     ","","Script defnition for Daily Blotter Reports",1,0,7,"               "
"Daily Blotter Report","                    ","REP_BATCHES_EXT     ","","Script defnition for Daily Blotter Reports",1,0,7,"               "
"Daily Blotter Report","                    ","REP_BATCHES_EXT     ","","Script defnition for Daily Blotter Reports",1,0,7,"               "
"Daily Equity Blotter","BE_D_DB_BLOT_EQ     ","REP_BATCHES_EXT     ","","PS_D_DB_BLOT_EQ - Renamed",1,0,7,"               "
"Daily FI Blotter    ","BE_D_DB_BLOT_FI     ","REP_BATCHES_EXT     ","","PS_D_DB_BLOT_FI - Renamed",1,0,7,"               "
"Daily FX Blotter    ","BE_D_DB_BLOT_FX     ","REP_BATCHES_EXT     ","","PS_D_DB_BLOT_FX - Renamed",1,0,7,"               "
"Daily FX Trops Bltr ","BE_TROPS_FX_BLO     ","REP_BATCHES_EXT     ","","PS_TROPS_FX_BLOT - Renamed",1,0,7,"               "
"Daily MM Blotter    ","BE_D_DB_BLOT_MM     ","REP_BATCHES_EXT     ","","PS_D_DB_BLOT_MM - Renamed",1,0,7,"               "
"Daily PRS Blotter   ","BE_M_DB_BLOT_PR     ","REP_BATCHES_EXT     ","","PS_D_DB_BLOT_PR - Renamed",1,0,7,"               "
"Daily SD Blotter    ","BE_D_DB_BLOT_IR     ","REP_BATCHES_EXT     ","","PS_D_DB_BLOT_IR - Renamed",1,0,7,"               "
"Dealer Performance  ","BE_SALES_DEALER     ","REP_BATCHES_EXT     ","","",1,0,7,"               "
"Direct Equity Detail","BE_INV_DIRECTEQ     ","REP_BATCHES_EXT     ","","PS_INV_DIRECTEQ - Renamed",1,0,7,"               "
"Dly Bltr PRS CapFlor","BE_DBLTR_PRSCFC     ","REP_BATCHES_EXT     ","","Script for ADOC-Daily Blotter-capture today deals booked ' PRS CapFloorCollar '",1,0,7,"               "
